cell_line_name,stripped_cell_line_name,DepMap_ID
VM-CUB1,VMCUB1,ACH-000545
HSC-4,HSC4,ACH-000546
HT-1197,HT1197,ACH-000547
BHY,BHY,ACH-000548
SNU-1076,SNU1076,ACH-000549
IGR-39,IGR39,ACH-000550
HT-29,HT29,ACH-000552
Sq-1,SQ1,ACH-000553
UACC-893,UACC893,ACH-000554
A-498,A498,ACH-000555
SIHA,SIHA,ACH-000556
AML-193,AML193,ACH-000557
A-172,A172,ACH-000558
NCI-H1836,NCIH1836,ACH-000559
ECC10,ECC10,ACH-000560
T.T,TDOTT,ACH-000561
HCC-78,HCC78,ACH-000562
EBC-1,EBC1,ACH-000563
KHM-1B,KHM1B,ACH-000564
RCM-1,RCM1,ACH-000565
SW-1710,SW1710,ACH-000566
ST486,ST486,ACH-000567
UACC-812,UACC812,ACH-000568
IST-MES1,ISTMES1,ACH-000569
YKG1,YKG1,ACH-000570
T98G,T98G,ACH-000571
G-361,G361,ACH-000572
MDA-MB-436,MDAMB436,ACH-000573
FU-OV-1,FUOV1,ACH-000574
NA,HCC364,ACH-000575
KMS-27,KMS27,ACH-000576
JHH-2,JHH2,ACH-000577
HCC-1171,HCC1171,ACH-000578
C32,C32,ACH-000580
SNU-16,SNU16,ACH-000581
COLO 741,COLO741,ACH-000582
MC116,MC116,ACH-000583
JHOS-4,JHOS4,ACH-000584
EPLC-272H,EPLC272H,ACH-000585
NCI-H1876,NCIH1876,ACH-000586
NCI-H1975,NCIH1975,ACH-000587
KMS-26,KMS26,ACH-000588
NCI-H1437,NCIH1437,ACH-000589
NCI-H2073,NCIH2073,ACH-000590
NA,LN235,ACH-000591
TM-31,TM31,ACH-000592
BC-3C,BC3C,ACH-000593
DMS 153,DMS153,ACH-000594
LN-229,LN229,ACH-000595
LCLC-97TM1,LCLC97TM1,ACH-000596
TTC-709,TTC709,ACH-000597
KMS-21BM,KMS21BM,ACH-000598
PA-TU-8902,PATU8902,ACH-000599
SLR 26,SLR26,ACH-000600
MIA PaCa-2,MIAPACA2,ACH-000601
M-07e,M07E,ACH-000602
BEN,BEN,ACH-000603
KYO-1,KYO1,ACH-000604
TE-6,TE6,ACH-000605
PE/CA-PJ34 (clone C12),PECAPJ34CLONEC12,ACH-000606
KYM-1,KYM1,ACH-000607
COV644,COV644,ACH-000608
SF126,SF126,ACH-000609
NCI-H2227,NCIH2227,ACH-000610
SU-DHL-6,SUDHL6,ACH-000611
NA,HUT102,ACH-000612
HOS,HOS,ACH-000613
RVH-421,RVH421,ACH-000614
Hs 746T,HS746T,ACH-000616
SNU-1041,SNU1041,ACH-000618
PE/CA-PJ15,PECAPJ15,ACH-000619
JHH-1,JHH1,ACH-000620
MDA-MB-157,MDAMB157,ACH-000621
KNS-42,KNS42,ACH-000622
SNU-201,SNU201,ACH-000623
HCC1806,HCC1806,ACH-000624
Hep 3B2.1-7,HEP3B217,ACH-000625
U266B1,U266B1,ACH-000626
LCLC-103H,LCLC103H,ACH-000627
NCI-H596,NCIH596,ACH-000628
