drug,cid
Pexidartinib,25151352
Pexmetinib,24765037
PF-03814735,51346455
PF-04217903,17754438
PF-04691502,25033539
PF-3758309,25227462
PF-477736,135565545
PF-562271,11713159
PH-797804,22049997
PHA-793887,46191454
Pictilisib,17755052
Pimasertib,44187362
Ponatinib,24826799
Poziotinib,25127713
Quizartinib,24889392
R-406,11213558
R-547,6918852
Rabusertib,11955855
RAF-265,11656518
Rebastinib,25066467
Refametinib,44182295
Regorafenib,11167602
RGB-286638,11285001
RGB-286638,11285002
Ribociclib,44631912
Rigosertib,6918736
Ripasudil,9863672
Ro-4987655,11548630
Ro-5126766,16719221
Rociletinib,57335384
Ruboxistaurin,153999
Ruxolitinib,25126798
Sapanisertib,45375953
Sapitinib,11488320
SAR-407899,15604510
Saracatinib,10302451
SB-1317,16739650
SCH-900776,46239015
Seliciclib,160355
Selumetinib,10127622
SGI-1776,24795070
SGX-523,24779724
Silmitasertib,24748573
SNS-314,24995524
Sonolisib,9849735
Sorafenib,216239
Sotrastaurin,10296883
SU-14813,10138259
Sunitinib,5329102
TAK-285,11620908
TAK-593,24767976
TAK-733,24963252
TAK-901,16124208
Talmapimod,9871074
Tandutinib,3038522
Tanzisertib,11597537
Telatinib,9808844
Tepotinib,25171648
Tesevatinib,10458325
TG-100115,10427712
TG-100572,11712625
TG-100801,11973736
Tivantinib,11494412
Tivozanib,9911830
Tofacitinib,9926791
Tozasertib,5494449
Trametinib,11707110
UCN-01,72271
UCN-01,3078519
UCN-01,5459175
UCN-01,4616292
UCN-01,56603728
Ulixertinib,11719003
Uprosertib,51042438
Vandetanib,3081361
Varlitinib,42642648
Vatalanib,151194
Vemurafenib,42611257
Volasertib,10461508
Volitinib,68289010
VX-702,10341154
X-396,56960447
XL-019,57990869
XL-019,57990770
XL-228,59757974
XL-413,135564632
XL-413,136662663
Y-39983,9810884
